img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_stable_diffusion_15_modern-luxury-villa-with-swimming-pool-daylight_666430219.jpg,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-small-barn_957038279.jpg,1,1,0.7969,0.8746,1.0000,0.9618,0.7717,0.9803,0.1930,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\human_2_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_617361057.jpg,1,1,0.9988,0.9926,1.0000,1.0000,0.9999,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\celeba_79.jpg,0,0,0.1491,0.0001,0.0014,0.0001,0.8836,0.0089,0.0007,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_dreamlike_photoreal_20_suburban-residential-street-with-family-houses_850826209.jpg,1,1,0.9963,0.9999,1.0000,0.9792,0.9985,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_juggernaut_xl_v9_classic-New-York-brownstone-street-autumn-leaves_551208306.jpg,1,1,0.9055,0.9994,0.9022,0.9607,1.0000,1.0000,0.5709,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\lhq_783.png,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\human_synthetic_dreamlike_photoreal_20_photo-of-a-toddler-with-blond-hair-sitting-on-the-grass_365830216.jpg,1,1,0.9999,1.0000,0.9998,1.0000,1.0000,1.0000,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_synthetic_dreamlike_photoreal_20_autumn-forest-with-colorful-leaves-path-covered-in-foliage_661051533.jpg,1,1,0.9996,0.9998,0.9999,1.0000,1.0000,1.0000,0.9978,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\architecture_1351.jpg,0,0,0.0654,0.0877,0.1601,0.0008,0.0278,0.0000,0.1158,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\architecture_1734.jpg,0,0,0.0364,0.0041,0.1910,0.0000,0.0000,0.0019,0.0214,,,,,,
